High Schools,Projected Enrollment,Grant Budget,Non-Grant Budget,Total Budget
ballard_high_school,1499,356692,15848789,16205481
center_school,233,62164,3008655,3070819
chief_sealth_international_high_school,1061,1271625,14225273,15496898
grover_cleaveland_stem_high_school,799,1227298,8642685,9869983
franklin_high_school,1066,1196929,12977367,14174296
garfield_high_school,1417,225520,14019198,14244718
ingraham_high_school,1299,224692,15471396,15696088
lincoln_high_school,1680,213341,15470706,15684047
nathan_hale_high_school,1013,219430,12224572,12444002
rainier_beach_high_school,706,1549882,9497273,11047155
roosevelt_high_school,1428,162953,14746220,14909173
west_seattle_high_school,1260,219430,13420894,13640324
