High Schools,Grade 9,Grade 10,Grade 11,Grade 12,Total Population
ballard_high_school,448,442,377,415,1682
center_school,44,35,41,30,150
chief_sealth_international_high_school,254,311,268,242,1075
grover_cleaveland_stem_high_school,213,227,190,148,778
franklin_high_school,287,301,269,340,1197
garfield_high_school,320,370,368,378,1436
ingraham_high_school,320,336,354,338,1348
lincoln_high_school,428,450,479,392,1749
nathan_hale_high_school,218,271,276,240,1005
rainier_beach_high_school,217,188,190,183,778
roosevelt_high_school,388,391,364,393,1536
west_seattle_high_school,367,380,354,349,1450
